LTGNR,KD_LTGNR,SLNR,LAENG,ART,QUERS,FARBE,KSID,ABGRIF1,KA1,ANSCH1,ABGRIF2,KA2,ANSCH2,PLATZ,BGID,TARGET_BG,BG_LIDENT,BG_CIDENT,Kaufteil,SEAL1,SEAL2,TOP1,TOP2,MW_IDENT,LIDENT,SL_LIDENT,CIDENT,KD_ABGRIF1,KD_ABGRIF2,V_IDENT,V_IDENT_VERS,SIGNAL,LTG_KENNUNG
1,1,,500,YR,"0,75",br,P1223508,SP_MB687A1,,,SP_MB687A,,,19s,band,pfsb,,,,,,16,16,905302,L0092377,,C0181605,SP_MB687A1,SP_MB687A,,,M.31..MB687_A1,
1,1,,500,YR,"0,75",br,P1223510,SP_MB687A1,,,SP_MB687A,,,19s,band,pfsb,,,,,,16,16,905302,L0092377,,C0181605,SP_MB687A1,SP_MB687A,,,M.31..MB687_A1,
1,1,,500,YR,"0,75",br,P1223512,SP_MB687A1,,,SP_MB687A,,,19s,band,pfsb,,,,,,16,16,905302,L0092377,,C0181605,SP_MB687A1,SP_MB687A,,,M.31..MB687_A1,
1,1,,500,YR,"0,75",br,P1223514,SP_MB687A1,,,SP_MB687A,,,19s,band,pfsb,,,,,,16,16,905302,L0092377,,C0181605,SP_MB687A1,SP_MB687A,,,M.31..MB687_A1,
2,2,,1810,YR,"0,35",br,P1223507,HLI,3,24148,SP_MB687A1,,,04c,band,pfsb,,,,,,,16,950002,L0452222,,C0043701,HLI,SP_MB687A1,,,M.31..MB687_A1,SIGNAL
3,3,,820,YR,4,br ws,P1223507,MB639C,1,62035,SP_MB639C,,,03c,band,pfsb,,,,,,,16,907071,L0582027,,C1596263,MB639C,SP_MB639C,,,M.31..MB639_C1,
4,4,,820,YR,"1,5",br,R666166,MB639B,1,2661,SP_MB639B,,,29,band,pfsb,,,,,,,16,905902,L0489241,,C0202765,MB639B,SP_MB639B,,,M.31..MB639_B1,
6,6,,1680,YR,"2,5",br gn,P1223507,PBSR,18,76654,SP_MB638A,,,05b,band,pfsb,,,,,,,16,906535,L0655444,,C2131415,PBSR,SP_MB638A,,,M.31..MB638_A1,
7,7,,560,YR,"2,5",br ws,P1223507,QSAA,12,56544,SP_MB639C,,,01b,band,pfsb,,,,,,,16,906540,L0595811,,C2132457,QSAA,SP_MB639C,,,M.31..MB639_C1,
8,8,,510,YR,4,br gn,R666166,MB638A,1,62035,SP_MB638A,,,29,band,pfsb,,,,,,,16,907111,L0695249,,C2133269,MB638A,SP_MB638A,,,M.31..MB638_A1,
9,9,,1980,YR,"0,35",br ge,P1223507,ICAS1A,31,24148,SP_MB638B1,,,04b,band,pfsb,,,,,,,16,950101,L0463906,,C0037516,ICAS1A,SP_MB638B1,,,M.31..MB638_B1,SIGNAL
10,10,,1730,YR,"0,35",br,P1223507,HMUL,2,24350,SP_MB639B,,,05c,band,pfsb,,,,,,,16,950002,L0480476,,C2097486,HMUL,SP_MB639B,,,M.31..MB638_B1,SIGNAL
12,12,,1680,YR,"0,75",br,P1223508,SP_MB687A2,,,SP_MB687A,,,19s,band,pfsb,,,,,,16,16,905302,L0092377,,C1500079,SP_MB687A2,SP_MB687A,,,M.31..MB687_A1,
12,12,,1680,YR,"0,75",br,P1223510,SP_MB687A2,,,SP_MB687A,,,19s,band,pfsb,,,,,,16,16,905302,L0092377,,C1500079,SP_MB687A2,SP_MB687A,,,M.31..MB687_A1,
12,12,,1680,YR,"0,75",br,P1223512,SP_MB687A2,,,SP_MB687A,,,19s,band,pfsb,,,,,,16,16,905302,L0092377,,C1500079,SP_MB687A2,SP_MB687A,,,M.31..MB687_A1,
12,12,,1680,YR,"0,75",br,P1223514,SP_MB687A2,,,SP_MB687A,,,19s,band,pfsb,,,,,,16,16,905302,L0092377,,C1500079,SP_MB687A2,SP_MB687A,,,M.31..MB687_A1,
13,13,,1600,YR,"0,5",br ws,P1223507,SP_MB639C1,,,PDG,4,70108,02c,BG639C,band,,,,,,16,,905040,L0436486,,C2223418,SP_MB639C1,PDG,V1201089,17,M.31..MB639_C1,
15,15,,1600,YR,"0,5",br ws,P1223507,SP_MB639C1,,,PDG,5,70108,02c,BG639C,band,,,,,,16,,905040,L0436486,,C2223418,SP_MB639C1,PDG,V1201089,17,M.31..MB639_C1,
18,18,,610,YR,"2,5",br ws,P1223507,QSAA,63,56544,SP_MB639C,,,01b,band,pfsb,,,,,,,16,906540,L0595811,,C1357474,QSAA,SP_MB639C,,,M.31..MB639_C1,
19,19,,830,YR,4,br,P1223507,MB639A,1,62035,SP_MB639A,,,03c,BG639A,band,,,,,,,16,907052,L0063773,,C1954394,MB639A,SP_MB639A,V1201088,7,M.31..MB639_A1,
20,20,,2030,YR,"2,5",br,P1223507,PBSL,18,76654,SP_MB639A,,,03c,BG639A,band,,,,,,,16,906502,L0489343,,C0080663,PBSL,SP_MB639A,V1201088,7,M.31..MB639_A1,
21,21,,3450,YR,"0,35",br ws,P1223507,ERG,2,24148,SP_MB639C2,,,05c,band,pfsb,,,,,,,16,950103,L0459349,,C2249035,ERG,SP_MB639C2,,,M.31..MB639_C1,SIGNAL
22,22,,860,YR,"2,5",rt ge,P1223507,FBO,9A,463,SP_30F9,,,04b,BG30F9,band,,,,,,,16,906584,L0466861,,C0499167,FBO,SP_30F9,V1201870,7,V.30A..LVI_F9,
24,24,,2170,YR,"0,35",rt bl,P1223507,FBO,19A,24161,SP_30F19,,,01b,band,pfsb,,,,,,,16,950141,L0483292,,C2131812,FBO,SP_30F19,,,V.30A..LVI_F19,SIGNAL
26,26,,2250,YR,"2,5",rt ge,P1223507,FBO,26A,463,SP_30F26,,,05b,BG3F26,band,,,,,,,16,906584,L0466861,,C0361521,FBO,SP_30F26,V1201871,6,V.30A..LVI_F26,
27,27,,790,YR,"0,35",rt ge,P1223507,QSAC,12,24161,SP_30BEL,,,01b,band,pfsb,,,,,,,16,950155,L0518126,,C1282446,QSAC,SP_30BEL,,,V.30G..,SIGNAL
28,28,,1050,YR,"2,5",rt,P1223507,QSAC,1,2676,FBO,5A,463,01b,band,pfsb,,,,,,,,906514,L0537093,,C1306718,QSAC,FBO,,,V.30A..LVI_F35,
29,29,,940,YR,"0,5",ge,P1223507,QSAC,24,1019781,FBO,92,2957,01b,band,pfsb,,,,,,,,905004,L0844936,,C2131813,QSAC,FBO,,,S.ANF_HSHR..,
30,30,,1030,YR,"2,5",rt sw,P1223507,QSAC,73,2676,FBO,6A,463,01b,band,pfsb,,,,,,,,906588,L0505744,,C1941593,QSAC,FBO,,,V.30A..LVI_F6,
31,31,,910,YR,"0,35",ws ge,P1223507,QSAC,53,24148,SP_58XS,,,01b,band,pfsb,,,,,,,16,950113,L0499310,,C2132458,QSAC,SP_58XS,,,V.58xs..SAM_C53,SIGNAL
35,35,,620,YR,"2,5",br ws,P1223507,QSAC,63,56544,SP_MB639C,,,01b,band,pfsb,,,,,,,16,906540,L0595811,,C1357475,QSAC,SP_MB639C,,,M.31..MB639_C1,
36,36,,860,YR,"1,5",br ws,P1223507,SP_MB639C1,,,SP_MB639C,,,02c,BG639C,band,,,,,,16,16,905940,L0092420,,C2132503,SP_MB639C1,SP_MB639C,V1201089,17,M.31..MB639_C1,
38,38,,910,YR,"0,35",rt gn,P1223507,FBO,44A,24161,SP_30F44,,,01b,band,pfsb,,,,,,,16,950169,L0472333,,C1609261,FBO,SP_30F44,,,V.30A..LVI_F44,SIGNAL
40,40,,1970,YR,"0,35",sw bl,R666166,FBO,60A,24161,SP_15F60,,,99,band,pfsb,,,1,,,,16,950132,,,,FBO,SP_15F60,,,V.15A..LVI_F60,SIGNAL
42,42,,620,YR,"0,5",br ws,P1223507,SP_MB639C1,,,FBO,82,2957,02c,BG639C,band,,,,,,16,,905040,L0537602,,C2132137,SP_MB639C1,FBO,V1201089,17,M.31..MB639_C1,
43,43,SL045R,610,FLS,"0,35",bl,P1223536,SP_CANABH,,,QKI,4X,24148,10g,SL045R,band,,,,,,16,"3,6",,,L0735676,,SP_CANABH,QKI,V1201649,8,D.CAN_AB_H..FD,SIGNAL
43,43,SL045R,610,FLS,"0,35",bl,P1223516,SP_CANABH,,,QKI,4X,24148,10g,SL045R,band,,,,,,16,"3,6",,,L0735676,,SP_CANABH,QKI,V1201649,8,D.CAN_AB_H..FD,SIGNAL
47,47,,860,YR,"0,35",or br,P1223507,QSAA,20,24148,SP_CANCONL,,,01b,VL069R,band,L0462060,C0291393,,,,,16,950189,L0459428,,C0069159,QSAA,SP_CANCONL,,,D.CAN_Connect_L..,SIGNAL
51,51,,860,YR,"0,35",or gr,P1223507,QSAA,21,24148,SP_CANCONH,,,01b,VL069R,band,L0462060,C0291393,,,,,16,950190,L0462059,,C0291391,QSAA,SP_CANCONH,,,D.CAN_Connect_H..,SIGNAL
52,52,,670,YR,"0,35",or gr,P1223507,ICAS1A,10,24148,SP_CANCONH,,,04b,VL089R,band,L0462060,C0460582,,,,,16,950190,L0462059,,C0460581,ICAS1A,SP_CANCONH,,,D.CAN_Connect_H..,SIGNAL
53,53,,1940,YR,"0,35",vi ws,P1223507,HFK,1,24148,SP_LINTLM,,,04c,band,pfsb,,,,,,,16,950159,L0461015,,C0769468,HFK,SP_LINTLM,,,D.LIN_BUS..11_SAM_C43,SIGNAL
54,54,,2170,YR,"0,35",rt gn,P1223507,PDG,16,70108,SP_30F44,,,04b,band,pfsb,,,,,,,16,950169,L0738779,,C2131476,PDG,SP_30F44,,,V.30A..LVI_F44,SIGNAL
55,55,,650,YR,"0,35",vi ws,P1223507,SP_LINTLM,,,QSAC,43,24148,01b,band,pfsb,,,,,,16,,950159,L0461015,,C0043915,SP_LINTLM,QSAC,,,D.LIN_BUS..11_SAM_C43,SIGNAL
56,56,,1750,YR,"0,35",vi ws,P1223507,HLI,1,24148,SP_LINTLM,,,04c,band,pfsb,,,,,,,16,950159,L0461015,,C0367752,HLI,SP_LINTLM,,,D.LIN_BUS..11_SAM_C43,SIGNAL
57,57,,2750,YR,"0,35",vi ws,P1223507,QSAC,28,24148,ERG,3,24148,01b,band,pfsb,,,,,,,,950159,L0461049,,C0922173,QSAC,ERG,,,D.LIN_BUS..1_SAM_C28,SIGNAL
58,58,SL045R,610,FLS,"0,35",or br,P1223516,SP_CANABL,,,QKI,3X,24148,10g,SL045R,band,,,,,,16,"3,6",,,L0735676,,SP_CANABL,QKI,V1201649,8,D.CAN_AB_L..FD,SIGNAL
58,58,SL045R,610,FLS,"0,35",or br,P1223536,SP_CANABL,,,QKI,3X,24148,10g,SL045R,band,,,,,,16,"3,6",,,L0735676,,SP_CANABL,QKI,V1201649,8,D.CAN_AB_L..FD,SIGNAL
59,59,,670,YR,"0,35",or br,P1223507,ICAS1A,9,24148,SP_CANCONL,,,04b,VL089R,band,L0462060,C0460582,,,,,16,950189,L0459428,,C0090416,ICAS1A,SP_CANCONL,,,D.CAN_Connect_L..,SIGNAL
65,65,,1890,YR,"0,35",or br,P1223507,SP_CANKL1,,,ICAS1A,17,24148,04b,VL124R,band,L0461085,C0051987,,,,16,,950189,L0459428,,C0287269,SP_CANKL1,ICAS1A,,,D.CAN_K_L..,SIGNAL
66,66,,1750,YR,"0,35",rt ge,P1223507,LMUL,2,24148,SP_30BEL,,,05c,band,pfsb,,,,,,,16,950155,L0459945,,C0333162,LMUL,SP_30BEL,,,V.30G..,SIGNAL
67,67,,1010,YR,"0,35",rt ge,P1223507,SP_30BEL,,,LHF,2,24350,04b,band,pfsb,,,,,,16,,950155,L0517450,,C1513049,SP_30BEL,LHF,,,V.30G..,SIGNAL
68,68,,2830,YR,"0,35",rt ge,P1223518,LMUR,2,24148,SP_30BEL,,,10y,band,pfsb,,,,,,,16,950155,L0459945,,C1005815,LMUR,SP_30BEL,,,V.30G..,SIGNAL
68,68,,2830,YR,"0,35",rt ge,P1223519,LMUR,2,24148,SP_30BEL,,,10y,band,pfsb,,,,,,,16,950155,L0459945,,C1005815,LMUR,SP_30BEL,,,V.30G..,SIGNAL
68,68,,2830,YR,"0,35",rt ge,P1223523,LMUR,2,24148,SP_30BEL,,,10y,band,pfsb,,,,,,,16,950155,L0459945,,C1005815,LMUR,SP_30BEL,,,V.30G..,SIGNAL
68,68,,2830,YR,"0,35",rt ge,P1223524,LMUR,2,24148,SP_30BEL,,,10y,band,pfsb,,,,,,,16,950155,L0459945,,C1005815,LMUR,SP_30BEL,,,V.30G..,SIGNAL
68,68,,2830,YR,"0,35",rt ge,P1223525,LMUR,2,24148,SP_30BEL,,,10y,band,pfsb,,,,,,,16,950155,L0459945,,C1005815,LMUR,SP_30BEL,,,V.30G..,SIGNAL
68,68,,2830,YR,"0,35",rt ge,P1223528,LMUR,2,24148,SP_30BEL,,,10y,band,pfsb,,,,,,,16,950155,L0459945,,C1005815,LMUR,SP_30BEL,,,V.30G..,SIGNAL
68,68,,2830,YR,"0,35",rt ge,P1223535,LMUR,2,24148,SP_30BEL,,,10y,band,pfsb,,,,,,,16,950155,L0459945,,C1005815,LMUR,SP_30BEL,,,V.30G..,SIGNAL
68,68,,2830,YR,"0,35",rt ge,P1223526,LMUR,2,24148,SP_30BEL,,,10y,band,pfsb,,,,,,,16,950155,L0459945,,C1005815,LMUR,SP_30BEL,,,V.30G..,SIGNAL
68,68,,2830,YR,"0,35",rt ge,P1223527,LMUR,2,24148,SP_30BEL,,,10y,band,pfsb,,,,,,,16,950155,L0459945,,C1005815,LMUR,SP_30BEL,,,V.30G..,SIGNAL
68,68,,2830,YR,"0,35",rt ge,P1223522,LMUR,2,24148,SP_30BEL,,,10y,band,pfsb,,,,,,,16,950155,L0459945,,C1005815,LMUR,SP_30BEL,,,V.30G..,SIGNAL
71,71,,2000,YR,"2,5",br,R666166,MB43A,1,2661,SP_MB43A,,,29,band,pfsb,,,,,,,16,906502,L0487571,,C0107332,MB43A,SP_MB43A,,,M.31..MB43_A1,
73,73,,1890,YR,"0,35",or gn,P1223507,SP_CANKH1,,,ICAS1A,18,24148,04b,VL124R,band,L0461085,C0051987,,,,16,,950180,L0459427,,C1340542,SP_CANKH1,ICAS1A,,,D.CAN_K_H..,SIGNAL
75,75,,990,YR,"0,35",rt bl,P1223507,QKI,7X,24148,SP_30F19,,,02c,band,pfsb,,,,,,,16,950141,L0461012,,C1930263,QKI,SP_30F19,,,V.30A..LVI_F19,SIGNAL
76,76,,490,YR,"2,5",rt ge,P1223507,SP_30F9,,,PASL,32,76654,04b,BG30F9,band,,,,,,16,,906584,L0489345,,C0060546,SP_30F9,PASL,V1201870,7,V.30A..LVI_F9,
78,78,,1890,YR,"2,5",rt ge,P1223507,SP_30F26,,,PBSR,19,76654,05b,BG3F26,band,,,,,,16,,906584,L0489345,,C0371282,SP_30F26,PBSR,V1201871,6,V.30A..LVI_F26,
79,79,,2210,YR,"0,35",rt gn,P1223507,HFK,2,24148,SP_30F44,,,04c,band,pfsb,,,,,,,16,950169,L0462090,,C1208413,HFK,SP_30F44,,,V.30A..LVI_F44,SIGNAL
80,80,,2030,YR,"0,35",rt gn,P1223507,HLI,2,24148,SP_30F44,,,04c,band,pfsb,,,,,,,16,950169,L0462090,,C2132342,HLI,SP_30F44,,,V.30A..LVI_F44,SIGNAL
81,81,,2670,YR,"0,35",rt gn,P1223507,ERG,1,24148,SP_30F44,,,05c,band,pfsb,,,,,,,16,950169,L0462090,,C2183344,ERG,SP_30F44,,,V.30A..LVI_F44,SIGNAL
85,85,,1630,YR,"0,35",vi ws,R666166,PBSR,11,1060,SP_LINDLR,,,99,band,pfsb,,,1,,,,16,950159,,,,PBSR,SP_LINDLR,,,D.LIN_BUS..TSG_Re,SIGNAL
89,89,,1770,YR,"0,35",br gr,R666166,PDG,14,70108,SP_CANOBDL,,,99,band,pfsb,,,1,,,,16,950105,,,,PDG,SP_CANOBDL,,,D.CAN_DIAG_L..,SIGNAL
90,90,,750,YR,"0,35",br gr,R666166,ICAS1A,24,24148,SP_CANOBDL,,,99,band,pfsb,,,1,,,,16,950105,,,,ICAS1A,SP_CANOBDL,,,D.CAN_DIAG_L..,SIGNAL
97,97,,3530,YR,"0,35",ws ge,P1223507,SP_58XS,,,PBSR,7,1060,05b,band,pfsb,,,,,,16,,950113,L0499309,,C1294551,SP_58XS,PBSR,,,V.58xs..SAM_C53,SIGNAL
98,98,,1900,YR,"2,5",rt ge,P1223507,SP_30F9,,,PBSL,19,76654,04b,BG30F9,band,,,,,,16,,906584,L0489345,,C0548607,SP_30F9,PBSL,V1201870,7,V.30A..LVI_F9,
102,102,,1530,YR,"0,35",vi ws,R666166,PBSL,11,1060,SP_LINDLL,,,99,band,pfsb,,,1,,,,16,950159,,,,PBSL,SP_LINDLL,,,D.LIN_BUS..TSG_Li,SIGNAL
104,104,,750,YR,"0,35",rt gr,R666166,ICAS1A,25,24148,SP_CANOBDH,,,99,band,pfsb,,,1,,,,16,950197,,,,ICAS1A,SP_CANOBDH,,,D.CAN_DIAG_H..,SIGNAL
117,117,,2400,YR,"0,35",ws ge,P1223507,SP_58XS,,,PBSL,7,1060,03c,band,pfsb,,,,,,16,,950113,L0499309,,C2262724,SP_58XS,PBSL,,,V.58xs..SAM_C53,SIGNAL
126,126,,1160,YR,"0,35",rt sw,P1223507,ICAS1A,11,24148,FBO,41A,24161,04b,band,pfsb,,,,,,,,950195,L0487483,,C2168165,ICAS1A,FBO,,,V.30A..LVI_F41,SIGNAL
127,127,,950,YR,4,rt gn,P1223507,QSAA,73,62432,FBO,13A,62432,01b,band,pfsb,,,,,,,,907080,L0811775,,C1501985,QSAA,FBO,,,V.30A..LVI_F13,
129,129,,720,YR,"0,35",sw bl,R666166,PDG,1,70108,SP_15F60,,,99,band,pfsb,,,1,,,,16,950132,,,,PDG,SP_15F60,,,V.15A..LVI_F60,SIGNAL
130,130,,1150,YR,"0,5",br ws,P1223507,QKI,5X,1019781,SP_MB639C1,,,02c,BG639C,band,,,,,,,16,905040,L0844462,,C2132425,QKI,SP_MB639C1,V1201089,17,M.31..MB639_C1,
131,131,,1930,YR,"0,35",br ge,P1223518,HMUR,2,24350,SP_MB638B1,,,10y,band,pfsb,,,,,,,16,950101,L0489039,,C1672657,HMUR,SP_MB638B1,,,M.31..MB639_B1,SIGNAL
131,131,,1930,YR,"0,35",br ge,P1223519,HMUR,2,24350,SP_MB638B1,,,10y,band,pfsb,,,,,,,16,950101,L0489039,,C1672657,HMUR,SP_MB638B1,,,M.31..MB639_B1,SIGNAL
131,131,,1930,YR,"0,35",br ge,P1223522,HMUR,2,24350,SP_MB638B1,,,10y,band,pfsb,,,,,,,16,950101,L0489039,,C1672657,HMUR,SP_MB638B1,,,M.31..MB639_B1,SIGNAL
131,131,,1930,YR,"0,35",br ge,P1223523,HMUR,2,24350,SP_MB638B1,,,10y,band,pfsb,,,,,,,16,950101,L0489039,,C1672657,HMUR,SP_MB638B1,,,M.31..MB639_B1,SIGNAL
131,131,,1930,YR,"0,35",br ge,P1223524,HMUR,2,24350,SP_MB638B1,,,10y,band,pfsb,,,,,,,16,950101,L0489039,,C1672657,HMUR,SP_MB638B1,,,M.31..MB639_B1,SIGNAL
131,131,,1930,YR,"0,35",br ge,P1223526,HMUR,2,24350,SP_MB638B1,,,10y,band,pfsb,,,,,,,16,950101,L0489039,,C1672657,HMUR,SP_MB638B1,,,M.31..MB639_B1,SIGNAL
131,131,,1930,YR,"0,35",br ge,P1223527,HMUR,2,24350,SP_MB638B1,,,10y,band,pfsb,,,,,,,16,950101,L0489039,,C1672657,HMUR,SP_MB638B1,,,M.31..MB639_B1,SIGNAL
131,131,,1930,YR,"0,35",br ge,P1223525,HMUR,2,24350,SP_MB638B1,,,10y,band,pfsb,,,,,,,16,950101,L0489039,,C1672657,HMUR,SP_MB638B1,,,M.31..MB639_B1,SIGNAL
131,131,,1930,YR,"0,35",br ge,P1223528,HMUR,2,24350,SP_MB638B1,,,10y,band,pfsb,,,,,,,16,950101,L0489039,,C1672657,HMUR,SP_MB638B1,,,M.31..MB639_B1,SIGNAL
131,131,,1930,YR,"0,35",br ge,P1223535,HMUR,2,24350,SP_MB638B1,,,10y,band,pfsb,,,,,,,16,950101,L0489039,,C1672657,HMUR,SP_MB638B1,,,M.31..MB639_B1,SIGNAL
132,132,,600,YR,"0,35",br,P1223518,LMUR,1,24148,HMUR,1,24350,10y,band,pfsb,,,,,,,,950002,L0487028,,C1801037,LMUR,HMUR,,,M.31S...5,SIGNAL
132,132,,600,YR,"0,35",br,P1223519,LMUR,1,24148,HMUR,1,24350,10y,band,pfsb,,,,,,,,950002,L0487028,,C1801037,LMUR,HMUR,,,M.31S...5,SIGNAL
132,132,,600,YR,"0,35",br,P1223522,LMUR,1,24148,HMUR,1,24350,10y,band,pfsb,,,,,,,,950002,L0487028,,C1801037,LMUR,HMUR,,,M.31S...5,SIGNAL
132,132,,600,YR,"0,35",br,P1223523,LMUR,1,24148,HMUR,1,24350,10y,band,pfsb,,,,,,,,950002,L0487028,,C1801037,LMUR,HMUR,,,M.31S...5,SIGNAL
132,132,,600,YR,"0,35",br,P1223525,LMUR,1,24148,HMUR,1,24350,10y,band,pfsb,,,,,,,,950002,L0487028,,C1801037,LMUR,HMUR,,,M.31S...5,SIGNAL
132,132,,600,YR,"0,35",br,P1223526,LMUR,1,24148,HMUR,1,24350,10y,band,pfsb,,,,,,,,950002,L0487028,,C1801037,LMUR,HMUR,,,M.31S...5,SIGNAL
132,132,,600,YR,"0,35",br,P1223527,LMUR,1,24148,HMUR,1,24350,10y,band,pfsb,,,,,,,,950002,L0487028,,C1801037,LMUR,HMUR,,,M.31S...5,SIGNAL
132,132,,600,YR,"0,35",br,P1223528,LMUR,1,24148,HMUR,1,24350,10y,band,pfsb,,,,,,,,950002,L0487028,,C1801037,LMUR,HMUR,,,M.31S...5,SIGNAL
132,132,,600,YR,"0,35",br,P1223535,LMUR,1,24148,HMUR,1,24350,10y,band,pfsb,,,,,,,,950002,L0487028,,C1801037,LMUR,HMUR,,,M.31S...5,SIGNAL
132,132,,600,YR,"0,35",br,P1223524,LMUR,1,24148,HMUR,1,24350,10y,band,pfsb,,,,,,,,950002,L0487028,,C1801037,LMUR,HMUR,,,M.31S...5,SIGNAL
133,133,,920,YR,"0,35",rt ws,P1223507,QSAA,13,24148,FBO,81,426,01b,band,pfsb,,,,,,,,950140,L0488862,,C2131817,QSAA,FBO,,,S.ANF_KL15R..,SIGNAL
134,134,,950,YR,"2,5",rt,P1223507,QSAA,66,2676,FBO,32A,463,03c,band,pfsb,,,,,,,,906514,L0537093,,C1159161,QSAA,FBO,,,V.30A..LVI_F12,
135,135,,600,YR,"0,35",sw vi,P1223507,SP_KL15,,,QSAA,14,24148,01b,band,pfsb,,,,,,16,,950110,L0459259,,C0221947,SP_KL15,QSAA,,,V.15_SIG..,SIGNAL
136,136,,570,YR,"0,35",br,P1223507,LHF,1,24350,HHF,1,24148,04b,band,pfsb,,,,,,,,950002,L0487028,,C1849947,LHF,HHF,,,M.31...15,SIGNAL
137,137,ML010R,1700,FLR,"0,35",rs,P1223507,ICAS1A,29,24148,PDG,13,70108,ML010R,ML010R,BML10R,,,,,,"3,6",5,,,L0823605,,ICAS1A,PDG,V1201590,5,D.ETH1-..TX,SIGNAL
141,141,,1770,YR,"0,35",rt gr,R666166,PDG,6,70108,SP_CANOBDH,,,99,band,pfsb,,,1,,,,16,950197,,,,PDG,SP_CANOBDH,,,D.CAN_DIAG_H..,SIGNAL
142,142,ML011R,1700,FLR,"0,35",gn,P1223507,ICAS1A,39,24148,PDG,3,70108,ML011R,ML011R,BML11R,,,,,,"3,6",5,,,L0823605,,ICAS1A,PDG,V1201591,6,D.ETH1+..RX,SIGNAL
143,143,,1760,YR,"0,35",ws gn,P1223507,ICAS1A,28,24148,PDG,8,70108,04b,band,pfsb,,,,,,,,950114,L0716772,,C2168181,ICAS1A,PDG,,,D.ETH1-..OBD_Activ,SIGNAL
144,144,ML010R,1700,FLR,"0,35",gn,P1223507,ICAS1A,30,24148,PDG,12,70108,ML010R,ML010R,BML10R,,,,,,"3,6",5,,,L0823605,,ICAS1A,PDG,V1201590,5,D.ETH1+..TX,SIGNAL
145,145,ML011R,1700,FLR,"0,35",rs,P1223507,ICAS1A,40,24148,PDG,11,70108,ML011R,ML011R,BML11R,,,,,,"3,6",5,,,L0823605,,ICAS1A,PDG,V1201591,6,D.ETH1-..RX,SIGNAL
146,146,,610,YR,"0,35",br ws,P1223507,LMUL,1,24148,HMUL,1,24350,05c,band,pfsb,,,,,,,,950103,L0495697,,C1565364,LMUL,HMUL,,,M.31S...3,SIGNAL
147,147,,1480,YR,"0,35",or br,P1223507,SP_CANKL,,,PASL,23,1060,02b,VL029R,band,L0480426,C2132600,,,,16,,950189,L0477794,,C2132531,SP_CANKL,PASL,,,D.CAN_K_L..,SIGNAL
148,148,,1480,YR,"0,35",or gn,P1223507,SP_CANKH,,,PASL,22,1060,02b,VL029R,band,L0480426,C2132600,,,,16,,950180,L0477795,,C2132532,SP_CANKH,PASL,,,D.CAN_K_H..,SIGNAL
149,149,,540,YR,"0,35",vi ws,R666166,PASL,38,1060,SP_LINDLL,,,99,band,pfsb,,,1,,,,16,950159,,,,PASL,SP_LINDLL,,,D.LIN_BUS..TSG_Li,SIGNAL
150,150,,530,YR,"0,35",or gn,P1223507,SP_CANKH1,,,PASR,22,1060,02b,VL030R,band,L0480426,C1338056,,,,16,,950180,L0477795,,C1331515,SP_CANKH1,PASR,,,D.CAN_K_H..,SIGNAL
151,151,,600,YR,"2,5",br,P1223507,PASL,31,76654,SP_MB639A,,,03c,BG639A,band,,,,,,,16,906502,L0489343,,C0114422,PASL,SP_MB639A,V1201088,7,M.31..MB639_A1,
160,160,,1970,YR,"0,35",br,P1223507,SP_MB687A1,,,HFK,3,24148,04c,band,pfsb,,,,,,16,,950002,L0452222,,C0311308,SP_MB687A1,HFK,,,M.31..MB687_A1,SIGNAL
161,161,,1320,YR,"0,5",br bl,P1223507,HHF,3,1019781,SP_MB687C,,,04b,band,pfsb,,,,,,,16,905031,L0844911,,C2249036,HHF,SP_MB687C,,,M.31..MB687_C1,
162,162,,460,YR,"0,35",vi ws,R666166,PASR,38,1060,SP_LINDLR,,,99,band,pfsb,,,1,,,,16,950159,,,,PASR,SP_LINDLR,,,D.LIN_BUS..TSG_Re,SIGNAL
163,163,,530,YR,"0,35",or br,P1223507,SP_CANKL1,,,PASR,23,1060,02b,VL030R,band,L0480426,C1338056,,,,16,,950189,L0477794,,C0071001,SP_CANKL1,PASR,,,D.CAN_K_L..,SIGNAL
164,164,,710,YR,"2,5",br gn,P1223507,PASR,31,76654,SP_MB638A,,,02b,band,pfsb,,,,,,,16,906535,L0655444,,C2132588,PASR,SP_MB638A,,,M.31..MB638_A1,
165,165,,280,YR,"2,5",br,P1223508,SP_MB687A,,,MB687A,1,2661,19s,band,pfsb,,,,,,16,,906502,L0487571,,C0325068,SP_MB687A,MB687A,,,M.31..MB687_A1,
165,165,,280,YR,"2,5",br,P1223510,SP_MB687A,,,MB687A,1,2661,19s,band,pfsb,,,,,,16,,906502,L0487571,,C0325068,SP_MB687A,MB687A,,,M.31..MB687_A1,
165,165,,280,YR,"2,5",br,P1223512,SP_MB687A,,,MB687A,1,2661,19s,band,pfsb,,,,,,16,,906502,L0487571,,C0325068,SP_MB687A,MB687A,,,M.31..MB687_A1,
165,165,,280,YR,"2,5",br,P1223514,SP_MB687A,,,MB687A,1,2661,19s,band,pfsb,,,,,,16,,906502,L0487571,,C0325068,SP_MB687A,MB687A,,,M.31..MB687_A1,
166,166,,570,YR,"2,5",rt ge,P1223507,SP_30F26,,,PASR,32,76654,05b,BG3F26,band,,,,,,16,,906584,L0489345,,C0513661,SP_30F26,PASR,V1201871,6,V.30A..LVI_F26,
